제품명,가격,,평균가격,최댓값,최솟값
[노브랜드] 맛 좋은 콩 국물 가루 500g,"3,680",,,,
[노브랜드] 맛좋은 부침 가루 1kg,"1,680",,,,
[노브랜드] 해바라기유 식용유 2L,"7,980",,,,
[노브랜드] 마카로니 1kg,"1,880",,,,
[노브랜드] 올리브유 식용유 2L,"15,980",,,,
[노브랜드] 신선한 데일리 마요네즈,"4,080",,,,
[노브랜드] 신선한 데일리 케찹 1kg,"2,780",,,,
[노브랜드] 홈스타일 돼지 불고기 양념 소스 300g,"1,580",,,,
[노브랜드] 홈스타일 소 불고기 양념 소스 300g,"1,580",,,,
[노브랜드] 홈스타일 갈비 찜 양념 소스 300g,"1,580",,,,
[노브랜드] 하얀 설탕 2kg,"2,580",,,,
[노브랜드] 갈색 설탕 2kg,"3,380",,,,
[노브랜드] 꽃 소금 1kg,"1,580",,,,
[노브랜드] 맛 소금 500g,"1,380",,,,
[노브랜드] 신안 천일염 2.5kg,"4,780",,,,
[노브랜드] 허브맛 솔트 천일염 50g,"1,740",,,,
"[노브랜드] 복숭아 홍차 120입 1,680g","9,880",,,,
[노브랜드] 유자 차 2kg,"7,980",,,,
[노브랜드] 알곡 옥수수 차 1kg,"3,280",,,,
[노브랜드] 생강 차 2kg,"7,980",,,,
[노브랜드] 콜롬비아 블렌드 원두 분쇄 커피 900g,"13,800",,,,
[노브랜드] 콜롬비아 수프리모 커피 티백 200g (5g * 40티백),"8,980",,,,
[노브랜드] 현미 녹차 티백 1.5g*200입,"8,980",,,,
[노브랜드] 레몬 홍차 음료 14g*120t,"9,880",,,,
[노브랜드] 둥굴레 차 200 티백,"8,980",,,,
[노브랜드] 라임 차 1kg,"4,980",,,,
[노브랜드] 매실 차 1kg,"4,980",,,,
[노브랜드] 까페 라떼 커피 50입,"7,980",,,,
[노브랜드] 카푸치노 커피 50입,"7,980",,,,
[노브랜드] 프라페 스트로베리 피치 30입,"8,580",,,,
[노브랜드] 프라페 초코 바나나 30입,"8,580",,,,
[노브랜드] 콜롬비아 에스프레소 블렌드 커피 원두 1kg,"14,800",,,,
[노브랜드] 녹차 밀크 티 10입 210g,"4,580",,,,
[노브랜드] 밀크 티 10입 220G,"4,580",,,,
[노브랜드] 메밀차 티백 1.5g 200개입,"7,980",,,,
[노브랜드] 딸기 잼 800g,"3,980",,,,
[노브랜드] 망고 잼 800g,"6,480",,,,
