,매체명,헤드라인,내용요약,뉴스url
94,로이슈,"이마트, 동국제약 콜라보 브랜드 ‘몰리스 케어’ 론칭","몰리스 케어는 실제 건강기능식품에 사용되는휴먼그레이드 원료를 활용하여 잇몸, 관절, 면역, 눈, 피부 건강 등 기능 별로 나누어 출시한 것이 가장 큰 특징이다. 이마트는 글로벌 브랜드들이 절대적인 지위를 갖고...",http://www.lawissue.co.kr/news/articleView.html?idxno=20170827213911538204ead0791_12
95,충청일보,"""당진 특산품으로 추석선물 하세요""","이번 상품전은 ㈜메쎄E&D가 주최하는 국내 유일의 명절선물 전문 박람회로, 이 자리에는 전국 각지에서 모인 전통식품과 농·축·수산물, 건강식품 관련 기업체 및 단체가 기업체 구매 담당자와 대형 백화점, 마트...",http://www.ccdailynews.com/news/articleView.html?idxno=936392
96,중앙일보,[건강한 가족] 나쁜 콜레스테롤↓ 좋은 콜레스테롤↑…혈관 지키는 영양소,"━ 식약처 인정 건강기능식품 셋째, 혈관을 보호하는 영양소인 폴리코사놀을 먹는 것이 도움이 된다. 폴리코사놀은 사탕수수 줄기에서 추출·정제한 천연 성분이다. 사탕수수 10만㎏ 중에서 얻을 수 있는...",http://news.joins.com/article/olink/21471015
97,중앙일보,"[건강한 가족] 혈행 개선, 전립샘 건강에 좋은 남성 건기식",웰빙 제품 프로메가 액티브맨 종근당건강은 남성을 위한 건강기능식품 ‘프로메가 액티브맨’(사진) 할인 행사를 진행한다. 프로메가 액티브맨은 남성 건강을 위한 5중 복합 기능성 제품이다. 혈중 중성지질과...,http://news.joins.com/article/olink/21471019
98,중앙일보,[건강한 가족] 기능성 입증된 쿠바산 45% 할인 판매,건강기능식품 전문 업체 우리레인보우는 폴리코사놀 출시 10주년을 기념해 중앙일보 독자를 대상으로 한정판 ‘폴리코사놀-10’(사진) 이벤트를 진행한다. 오늘(28일)부터 9월 1일까지 전국 백화점에 입점한...,http://news.joins.com/article/olink/21471029
99,경남일보,기능성분 풍부한 햇고구마 '풍원미' 출하,"'풍원미'는 찐 고구마 감미도가 16.5로 높아 맛이 좋고, 눈 건강에 특히 좋은 베타카로틴이 100g당 9.1mg 들어 있어 소비자의 선호도가 높은 건강식품이다. 현재 생산자와 유통사업단을 중심으로 농수산물도매시장 등에...",http://www.gnnews.co.kr/news/articleView.html?idxno=306691
100,중앙일보,[맛있는 도전] 290가지 철저한 품질관리···'정관장' 이은 또 하나의 메가 브랜드 뜬다,송상욱 KGC인삼공사 굿베이스 팀장은 “굿베이스는 모든 제품이 정관장의 철저한 안전성 검사를 통과해 믿을 수 있는 건강식품으로 인기를 얻고 있다”라고 밝혔다. 굿베이스는 전국 백화점과 대형마트의 정관장...,http://news.joins.com/article/olink/21471071
101,매일신문,[수출산업 키워낸 경북도 농업] <상>영주 풍기인삼공사,"건강기능식품 시장에 경쟁 제품이 너무 많이 생겼고, 지난해 9월 생긴 '김영란법' 여파도 예상을 훨씬 뛰어넘었다. 명절이면 국내 주요 기관, 기업들이 인삼 선물세트 20~30개씩 사갔지만, 김영란법 이후 10분의 1로...",http://www.imaeil.com/sub_news/sub_news_view.php?news_id=39008&yy=2017
102,대한급식신문사,"[■'소금과 나트륨'- 오해와 진실을 말하다] ""소금, 대체식품이 없는 필수불가결한 것""",소금이 나트륨 섭취의 전부로 생각하는 것은 오해 나트륨 적게 섭취하는 것이 몸에 좋다는 근거 미약 의약품이나 건강기능식품이 아닌 식품첨가제일 뿐 Q. 소금의 가치에 대해 짧게 정의한다면. 건강에 좋다는 어떠한...,http://www.fsnews.co.kr/news/articleView.html?idxno=22258
103,인천일보,대부도 포도가 원재료 … '글로벌 브랜드' 당찬 꿈,"바다향기는 안산시 세월호 침몰 사건 발생과 함께 회사를 열게 돼 잠시 어려움을 겪었지만, 꾸준히 지역 특산물을 알리고 식품을 개발해 건강한 먹거리 문화에 앞장서는 등 한발씩 전진하고 있다. 안산시 바다향기의...",http://www.incheonilbo.com/?mod=news&act=articleView&idxno=777064
104,동아일보,[2017 K-뷰티를 말하다]열정과 전문성으로 화장품 강국 만든 강소기업들,"미국, 유럽, 아시아 등지로 수출된 유니베라의 알로에는 건강기능식품과 화장품 원료 등으로 다양하게 활용되고 있다. 유네스코 생물권 보전지역으로 선정된 청정지역, 전북 고창에서 재배한 베리 등 식물성 원료를...",http://news.donga.com/3/all/20170827/86031247/1
105,조선일보,아스타잔틴·루테인·오메가3… 눈 영양소 한번에 섭취,"아이클리어 올케어 종근당건강은 눈 건강을 위한 건강기능식품 '아이클리어 올케어'를 출시했다. 아이클리어 올케어는 피곤하고 지친 눈, 침침하고 뻑뻑한 눈을 개선하는 눈 건강 복합 솔루션 제품이다. '아이클리어...",http://news.chosun.com/site/data/html_dir/2017/08/27/2017082700993.html
106,조선일보,"인삼 다당체 '진산', 항산화 효소·면역세포 늘려",NK 진산골드는 진산 100%로 구성된 건강기능식품이다. 경기 북부 지역에서 재배된 6년근 인삼의 주근(식물의 주가 되는 뿌리)만을 이용해 제조했다. 나이가 들면서 기력이 떨어진 중·장년층이나 면역력 저하로 부쩍...,http://news.chosun.com/site/data/html_dir/2017/08/27/2017082700996.html
107,에이빙뉴스,"[MIK Vietnam] 비바코리아, 'MIK Beauty 베트남 C to C 컨벤션'서 가슴 고민 해결해주는 제품 선봬","프랑스 산 '보르피린' 성분이 함유된 가슴크림뿐 아니라, 실리콘 기구 '애플업', 여성 건강기능식품 '밸런스업', 하루 종일 가슴 탄력 관리를 가능하게 하는 'V2패치(브이투패치)' 등을 MIK베트남을 통해...",http://kr.aving.net/news/view.php?articleId=1379992&Branch_ID=kr&rssid=naver&mn_name=news
108,금강일보,끊이지 않는 먹거리 파동…우지 라면에서 살충제 계란까지,한국소비자원은 당시 홈쇼핑 등에서 선풍적인 인기를 끌던 건강기능식품 백수오 관련 제품 상당수에 식품 원료로 인정되지 않고 인체에 유해한 이엽우피소가 섞여 있다고 발표했다. 이 발표로 대량 환불 사태가 일어나...,http://www.ggilbo.com/news/articleView.html?idxno=400367
109,에이빙뉴스,"[MIK Vietnam] 베델코리아, 'MIK Beauty 베트남 C to C 컨벤션'서 피토파인 내츄럴 솝 선봬","또한 항산화 에너지가 가득한 레드파인오일 건강식품 프리미엄 비타골드도 유해산소로부터 세포를 보호하며 디톡스해주는 효과가 있다. 한편, 'MIK 베트남'은 글로벌 뉴스 네트워크 'AVING NEWS(이하 에이빙뉴스)...",http://kr.aving.net/news/view.php?articleId=1380006&Branch_ID=kr&rssid=naver&mn_name=news
110,노컷뉴스,간염 소시지 '일파만파' 네덜란드·독일산 돼지고기 7천톤 어디로?,국민 건강권과 직결된 식품안전에 대해 촘촘해야 할 정부 대응에 구멍이 뚫린 게 아니냐는 비판을 피하긴 어려워 보인다. 또한 살충제 계란 파동 당시에도 '오락가락' 발표와 제한된 정보 제공으로 국민의 불신만 키웠던...,http://www.nocutnews.co.kr/news/4836969
111,약사공론,공직약사 궁금해요···토크쇼 통해 궁금증 해결,"이어 물론 보건복지부, 식품의약품안전처, 건강보험심사평가원, 특허청, 질병관리본부, 국립과학수사연구원 등의 기관의 실제 공직약사 선배들의 강의가 진행됐다. 보건복지부 맹호영 통상협력담당관은 공직약사로의...",http://www.kpanews.co.kr/article/show.asp?idx=186576&table=article&category=A
112,의학신문,비타민D 일일섭취량 최소함량기준 2배 확대 추진,"내용의 '건강기능식품의 기준 및 규격 개정안'을 마련, 오는 10월 23일까지 행정예고 했다. 개정안의 주요 내용은 △영양성분 원료 확대 △비타민D, 크롬에 대한 일일섭취량 최소함량기준 개정 △엽산과 철...",http://www.bosa.co.kr/news/articleView.html?idxno=2067406
113,의학신문,"건식협회, 수능 앞둔 수험생 건강관리법 4가지 소개","건강기능식품협회_수능 앞둔 수험생 건강관리법 4가지 소개 오는 11월 16일 치러지는 2018년도 대학수능능력시험이 3달도 채 남지 않았다. 특히 올해부터 외국어 영역에 절대평가가 도입되면서, 수험생들은 새로운...",http://www.bosa.co.kr/news/articleView.html?idxno=2067401
114,TBC대구방송,대구경북TBC)토종작물 보존 육성책 마련 시급,[기자] 이상우 씨는 10년 동안 토종 작물인 돼지감자를 가공한 건강식품을 만들고 있습니다. 당뇨나 비만에 좋다는 입소문을 타고 미국에까지 진출했지만 사업 확장이 여간 힘드는 게 아닙니다. 토종 작물에 대한 정책적...,http://www.tbc.co.kr/tbc_news/n14_newsview.html?p_no=20170824163701AE09060
115,국제뉴스,"3주 다이어트,칼로리컷팅제 엘팜 ‘비밀이야’ 해피버스 이벤트",프리미엄 건강기능 식품 기업인 엘팜는 19가지 원료를 엄선한 다이어트보조식품 ‘비밀이야’를 출시했다고 밝혔다. 비밀이야는 주원료 10가지와 부원료 9가지가 함유하고 있다고 한다. 하루 섭취기준 1500m의 고함량...,http://www.gukjenews.com/news/articleView.html?idxno=772145
116,비즈트리뷴,"이마트, 동국제약 콜라보 브랜드 ‘몰리스 케어’ 런칭","몰리스 케어는 실제 건강기능식품에 사용되는 휴먼그레이드 원료를 활용하여 잇몸, 관절, 면역, 눈, 피부 건강 등 기능 별로 나누어 출시한 것이 가장 큰 특징이다. 예를 들어, ‘조인트 에이드(joint aid)’의 경우...",http://biztribune.co.kr/n_news/news/view.php?no=24364
