,판매시간,홈쇼핑채널,제품명,소비자가,판매가
250,20시40분~21시45분,hmall,일명 김지선 다이어트 휴럼 황후의 보이차 다이어트 (800mg*56정*3박스 총 12주분),"168,000원","150,300원"
251,,hmall,일명 김지선 다이어트 휴럼 황후의 보이차 다이어트 (800mg*56정*3박스 총 12주분 + 깔라만시클렌즈 1박스),,"177,300원"
252,,hmall,일명 김지선 다이어트 휴럼 황후의 보이차 다이어트(800mg*56정 총 4주분),,"139,000원"
253,21시30분~22시30분,hnsmall,"팔레오 오메가 사차인치 세트(총1,440g)","119,000원","107,100원"
254,,hnsmall,"팔레오 오메가 사차인치 더블세트 (총 2,880g)",,"196,200원"
255,,hnsmall,"팔레오 오메가 사차인치 더블세트 (총 2,880g)",,"196,200원"
256,,hnsmall,"팔레오 오메가 사차인치 세트(총1,440g)",,"107,100원"
257,21시40분~22시50분,nsmall,[10%세일(~9/18)](무이자)정관장 홍삼활력PLUS 총 7박스/7개월분+쇼핑백 7장,"304,200원","303,200원"
258,,nsmall,[10%세일(~9/18)](일시불)정관장 홍삼활력PLUS 총 7박스/7개월분+쇼핑백 7장,,"293,200원"
259,21시45분~22시40분,immall,백수오궁 5개월[식품의약품안전처 검사명령제 원료확인],"279,000원","278,000원"
260,22시45분~23시50분,cjmall,[SALE]정관장 홍삼대보 프리미엄 본품 5박스 +  추가구성 2박스,"301,500원","290,500원"
261,,cjmall,[정관장]건강기능식품 홍삼대보 프리미엄 본품으로만 1박스,,"67,000원"
262,23시33분~0시10분,hnsmall,[자연애벗] 발효육포 세트 쇠고기육포 51봉,"43,900원","39,510원"
263,23시36분~23시56분,kshop,[총100봉] Dole 후룻앤넛츠 레드라벨,"38,900원","35,900원"
264,23시45분~0시50분,immall,무안 자색양파즙 180포,"62,900원","61,900원"
265,0시10분~1시00분,gsshop,전인화 유산균 락토핏 생유산균 6통 (300포),"79,000원","74,000원"
266,0시45분~1시45분,cjmallplus,CJ제일제당 맛밤 32봉,"40,900원","39,900원"
267,0시50분~1시50분,immall,큰 제주은갈치(90cm내외) 8미,"69,900원","68,900원"
268,0시55분~2시00분,nsmall,팔레오 비타민나무 32통+전용보틀 2개+전용스푼 2개,"298,000원","297,000원"
269,,nsmall,팔레오 비타민나무 15통+전용보틀 1개+전용스푼 1개,,"158,000원"
270,1시00분~2시00분,lottemall,●판도라 다이어트 뷰티업 3개월분(600mg*90정*3병),,"158,000원"
271,,lottemall,●판도라 다이어트 뷰티업 6개월분(600mg*90정*6병),,"298,000원"
272,1시50분~2시30분,hnsmall,"[완도활전복] 대전복 24미 + 전복장 2캔 증정 (마리당 65~80g, 총 1.56kg)","69,900원","62,910원"
273,,hnsmall,[완도활전복] 꼬마 전복 세트,,"26,910원"
274,,hnsmall,"[완도활전복] 중전복 32미 (마리당 50~60g, 총 1.60kg)",,"62,910원"
275,1시50분~2시50분,immall,[특집]국내산 살로만 아구찜(아구11팩+소스11팩),"40,900원","39,900원"
276,,hmall,(직)정준하의 야무지게 맛있는 바베큐 폭립 세트,,"69,900원"
277,,hmall,정준하의 야무지게 맛있는 베리후르츠 바베큐 폭립 1팩(450g),,"17,000원"
278,,hmall,정준하의 야무지게 맛있는 레드 스파이시 폭립 1팩(450g),,"18,000원"
279,2시00분~3시30분,nsmall,팔레오 비타민나무 열매 파우더 30gX15통+전용보틀+전용스푼,"159,000원","158,000원"
280,,nsmall,삼육두유 총 105팩,,"44,900원"
281,,nsmall,안동 검은콩 낫또 54개,,"45,810원"
282,2시50분~4시05분,immall,밥에넣는톳플러스 20g*25봉,"49,900원","48,900원"
283,3시30분~3시45분,cjmallplus,정호영의 안창살 양념구이 11팩 - 야끼니쿠,"70,900원","69,900원"
284,3시37분~3시57분,gsmyshop,"정직한 가격, 정직한 품질175년전통 노르웨이산 퓨어리스트 오메가3 18개월분(9박스)",,"79,900원"
285,3시45분~4시45분,cjmallplus,대천김 재래김20봉+도시락김 24개,"29,900원","28,900원"
286,3시55분~4시15분,kshop,종근당건강 아이클리어 루테인 12개월,"99,000원","98,000원"
287,4시05분~5시05분,immall,황토방 청도 감말랭이 55g*30팩,"39,900원","38,900원"
288,4시10분~6시00분,nsmall,팔레오 스윗 로우 카카오닙스 총 12병(270gX6병+72gX6병),"159,800원","158,800원"
289,,nsmall,팔레오 스윗 로우 카카오닙스 총 6병(270gX3병+72gX3병),,"88,900원"
290,,nsmall,특품 홍천잣 100gX10개,,"74,900원"
291,,nsmall,특품 홍천잣 100gX5개,,"48,900원"
292,,nsmall,태현실 약선전복장 세트 총 5통(전복장 3통+새우장 2통),,"68,900원"
293,,nsmall,국내산 손질꽃게 총 8팩/3kg,,"58,900원"
294,,nsmall,제주농장 유기 양배추진액 총 4박스/120포,,"67,410원"
295,4시39분~4시50분,ssgshop,"(사랑의 기부미) 김제 새만금 신동진쌀 10kg x2+신동진 현미1kg (총 21kg) (백미,현미 신동진 단일품종)","43,900원","42,900원"
296,,ssgshop,"(사랑의 기부미) 만세 보령 삼광미 GOLD 10kg x 2 + 현미 2kg (총 22kg) (백미, 삼광 단일품종)",,"43,900원"
297,4시50분~5시50분,ssgshop,코스마미떡 4종세트,"30,900원","29,900원"
298,5시00분~5시15분,cjmallplus,정호영의 안창살 양념구이 11팩 - 야끼니쿠,"70,900원","69,900원"
299,5시05분~6시15분,immall,김정문의 섬진강재첩국 20팩,"65,900원","64,900원"
300,5시21분~5시31분,lotteonetv,[R]삼육검은콩과칼슘 두유105팩세트(검은콩과칼슘75팩+삼육파우치30팩),"45,900원","44,900원"
301,5시30분~6시00분,cjmall,무명식당 엄마밥상 400g13봉,"27,900원","26,900원"
302,5시30분~6시10분,hnsmall,임성근의 영양 특 소갈비탕 10팩,"60,900원","54,810원"
303,5시45분~6시45분,cjmallplus,[CJ쏘팔메토]전립소 스페셜 6개월분,"159,000원","158,000원"
304,5시55분~7시15분,hmall,테이블8 든든한끼통곡물 25g*100봉,,"59,900원"
305,,hmall,[1박스]테이블8 든든한끼통곡물 25g*25봉,,"35,000원"
306,6시00분~7시15분,cjmall,[백화점동일]폴란드산  슈퍼베리아로니아 열매 분말 100% 3병,,"84,000원"
307,,cjmall,[폴란드직수입] 슈퍼베리아로니아 유기농 12통,,"159,000원"
308,6시00분~7시25분,nsmall,비어랩 맥주효모 파우더 16통+맥주효모샴푸 2통,"188,000원","187,000원"
309,,nsmall,비어랩 맥주효모 파우더 8통+맥주효모샴푸 1통,,"98,000원"
310,6시32분~7시12분,lotteonetv,아이맥스 루테인 12박스,"59,900원","58,900원"
311,7시15분~8시15분,gsshop,[GS 1등 유산균] 덴마크 유산균 이야기 3+3병 총 12개월분,"198,000원","197,000원"
312,7시15분~8시15분,immall,[농협안심] 농협안심감귤꿀500g×4병,,"57,900원"
313,8시13분~9시13분,lotteonetv,브라질 너트 10팩,"78,900원","77,900원"
314,8시16분~9시16분,kshop,독일1등 도펠헤르츠 마그네슘+비타민B1+B6+B12+엽산 6개월분,"99,000원","98,000원"
315,9시20분~10시25분,nsmall,스테비아 스위트 200gX18팩+줄자 2개,"149,800원","148,800원"
316,,nsmall,스테비아 스위트 200gX9팩+줄자 1개,,"78,900원"
317,9시31분~10시32분,ssgshop,"[카드 10%할인,10%적립,일시불 할인]정관장 홍삼정옥고 100g*9병 (S035)","198,000원","187,000원"
318,10시25분~11시40분,immall,[TV홈쇼핑 유일!브라질넛과 사차인치가 한봉에]프리미엄 원데이슈퍼넛츠(20gx105봉),,"79,900원"
319,,immall,프리미엄 원데이슈퍼넛츠(20gx20봉),,"25,000원"
320,10시25분~11시35분,nsmall,[10%세일(~9/18)](무이자)정관장 홍삼활력PLUS 총 7박스/7개월분+쇼핑백 7장,"304,200원","303,200원"
321,,nsmall,[10%세일(~9/18)](일시불)정관장 홍삼활력PLUS 총 7박스/7개월분+쇼핑백 7장,,"293,200원"
322,11시18분~11시38분,kshop,형제덕장 황태_10미,"27,900원","26,900원"
323,11시45분~12시05분,gsmyshop,영월농협 동강마루 청결 고춧가루 500g x 6봉(3kg),,"72,900원"
324,12시05분~12시25분,gsmyshop,[제주 백록담흑돼지] 구이용 10팩+찌게용 3팩+볶음용 3팩,"40,900원","39,900원"
325,12시38분~13시38분,kshop,제주은갈치 45토막,"59,900원","56,900원"
326,12시40분~13시40분,immall,명인강정바 시즌2 25봉×4박스+무료체험3봉 총103봉,"50,900원","49,900원"
327,13시29분~14시28분,shopnt,[17년 추석특집] 정관장 홍삼진환 총 4병 (+선물용 쇼핑백),"144,000원","143,000원"
328,13시40분~14시40분,nsmall,이롬 황성주1일1생식 4박스/16주분+전자동쉐이커 1개+검은콩과17곡 2박스,,"198,000원"
329,14시40분~15시10분,gsshop,[서울대공동개발] 배로 맛있는 약콩두유190ml*24팩*3박스,"59,900원","58,900원"
330,14시40분~15시40분,immall,국민 아로니아 분말 (30g*30병),"109,000원","108,000원"
331,,immall,국민 아로니아 분말 (30g*20병),,"88,000원"
332,15시34분~16시34분,bshop,[25박스 유기농 슈퍼 아로니아] 100,"119,000원","118,000원"
333,,bshop,[12박스 유기농 슈퍼 아로니아] 100,,"69,000원"
334,15시40분~16시40분,immall,[게릴라]뱅어포 5장(30g이상)*6봉 + 소스(500g),,"19,900원"
335,,immall,제주바다 자연산 돔 36마리,,"49,900원"
336,15시40분~16시40분,lottemall,"[슬림엣지]●내몸애 풋사과하자(850mg*28정*3박스,총12주분)",,"122,200원"
337,16시27분~17시27분,shopnt,쉐프 구본길의 양념갈비찜 7팩 + 알꼬리찜 3팩 (총 10팩),"79,900원","78,900원"
338,16시30분~17시30분,cjmall,김나운 떡갈비 名作 [총 60장 / 떡갈비 50장 + 매운맛 10장],"60,900원","59,900원"
339,,cjmall,김나운 떡갈비 名作  [총 60장 / 30팩 ],,"59,900원"
340,,cjmall,김나운 떡갈비名作 [1팩],,"7,000원"
341,,cjmall,김나운 떡갈비 名作 [매운맛 1팩],,"7,000원"
342,16시30분~17시10분,nsmall,[TV홈쇼핑 최초 공개]제주풋귤 5kg,,"29,900원"
343,16시34분~17시34분,ssgshop,박미희 달인 포기김치 10kg + (특별사은품) 특선 겉절이 1kg  (총 11kg),"42,900원","41,900원"
344,16시40분~17시39분,hmallplus,백록담포크 제주 흑돼지 뒷다리살 구이용12팩 (각250g/총3kg),"30,900원","29,900원"
345,,hmallplus,백록담포크 제주 흑돼지 뒷다리살(구이용8팩+찌게용2팩+볶음용2팩)(각250g/총3kg),,"29,900원"
346,16시45분~17시45분,cjmallplus,비비고 육개장500g 13봉 + 사골곰탕500g4봉,"40,900원","39,900원"
347,16시50분~17시30분,hnsmall,[볍씨맵씨] 현미 수제 누룽지(27봉),"49,900원","44,910원"
348,17시10분~17시50분,nsmall,이종임 우거지 소갈비탕 700gX10팩,"59,900원","58,900원"
349,17시18분~18시18분,lotteonetv,제주갈치 3종세트,"59,900원","58,900원"
350,17시30분~18시10분,hnsmall,팽현숙 옛날 순대곱창볶음 8팩 (16인분) + 양념 2종,"49,900원","44,910원"
351,,hnsmall,팽현숙 옛날 순대곱창볶음6팩 + 육수6팩,,"44,910원"
352,17시34분~18시34분,bshop,배연정의 LA갈비 (무려 8팩!),"69,900원","68,900원"
353,17시34분~18시35분,ssgshop,"[카드 10%할인,10%적립]서초동 유명맛집 소들녘 소갈비탕 600g x 10팩 + 2팩 더 (총 12팩)","54,900원","53,900원"
354,17시40분~18시40분,hmall,한복선 우양지구이,,"59,900원"
355,17시40분~18시39분,hmallplus,더반찬 진국 6팩 세트,,"29,900원"
356,,hmallplus,[더반찬 the Banchan] 반찬 6종 세트,,"29,900원"
357,17시40분~18시40분,immall,농협안심한우 참예우1등급 구이세트 1kg,"69,900원","68,900원"
358,,immall,김경숙순무김치4Kg + 순무물김치1Kg + 순무물김치1Kg,,"39,900원"
359,17시40분~18시40분,kshop,근해통발수협 국내산 손질문어,"59,900원","56,900원"
360,17시40분~18시40분,lottemall,아리랑 (소불고기 160g*14팩 + 전골육수 200g*7팩) 총 21팩,,"58,900원"
361,,lottemall,아리랑 (소불고기 160g*14팩 + 전골육수 200g*6팩) 총 20팩,,"58,900원"
362,17시45분~18시45분,cjmallplus,김나운 손질새우 260 마리,"60,900원","59,900원"
363,17시47분~18시07분,gsmyshop,여수 돌산 갓김치 5kg+고들빼기 김치 1kg,,"36,900원"
364,17시50분~18시35분,nsmall,완도中활전복 총 31미/총1.58kg,"69,900원","68,900원"
365,18시20분~19시20분,wshop,탐해진미 제주은갈치 45토막,"59,900원","58,900원"
366,18시28분~19시28분,gsmyshop,[myshop] 제주 大 은갈치 5미 20토막,,"79,900원"
367,18시34분~19시35분,bshop,"거문도해풍쑥송편 + 거문도해풍쑥개떡 세트 (총 104개, 8봉)","39,900원","38,900원"
368,18시35분~19시35분,nsmall,[9월중 단한번 방송]빅마마 이혜정 깜짝폭립(하와이안 깜짝폭립 450gX5팩+핫 깜짝폭립 450gX2팩),,"69,900원"
369,18시41분~19시41분,kshop,한삼인 하루홍삼 6박스/180포,"159,000원","158,000원"
370,18시50분~19시30분,hnsmall,[윤상섭 갈비] LA갈비 6팩 + 갈비찜 3팩(총 9팩),"69,900원","62,910원"
371,19시35분~20시40분,nsmall,[TV홈쇼핑 단독 직전방송 10회연속 완전매진]빅마마 이혜정의 맛있는 김치 11kg,"45,900원","44,900원"
372,,nsmall,[NS 단독 방송 이전 2회연속 완전매진]빅마마 이혜정 맛있는 떡갈비 총35팩(떡갈비 25팩+치즈떡갈비 10팩),,"58,900원"
373,19시40분~20시40분,immall,★대박구성★국내산 은병어 18미+2미 / 총20미!,"59,900원","58,900원"
374,19시46분~20시45분,shopnt,[17년 추석특집] 정관장 홍삼 정옥고 총 9병 (+선물용 쇼핑백),"198,000원","197,000원"
375,20시10분~20시50분,hnsmall,한복선 사골 도가니탕 14팩+도가니탕수육 4팩,"40,900원","36,810원"
376,,hnsmall,한복선 도가니탕 수육 10팩,,"44,910원"
377,20시50분~21시30분,hnsmall,"홍진경 더 만두 8봉+7봉, 총15봉","44,900원","40,410원"
378,21시30분~22시30분,hnsmall,정관장 홍이장군 1단계 총100포 (3~4세까지 면역력지킴이),"240,000원","216,000원"
379,,hnsmall,정관장 홍이장군 3단계 총100포 (8~10세까지 면역력지킴이),,"324,000원"
380,,hnsmall,정관장 홍이장군 2단계 총100포 (5~7세까지 면역력지킴이),,"270,000원"
381,,hnsmall,[특집]정관장 홍이장군 2단계 총100포(5~7세까지 면역력지킴이),,"270,000원"
382,,hnsmall,[특집]정관장 홍이장군 1단계 총100포 (3~4세까지 면역력지킴이),,"216,000원"
383,,hnsmall,[특집]정관장 홍이장군 3단계 총100포(8~10세까지 면역력지킴이),,"324,000원"
384,,hnsmall,[특집]정관장 아이패스 주니어 총100포 (11~13세까지 면역력지킴이),,"351,000원"
385,,hnsmall,[특집]정관장 아이패스 M단계 총100포 (14~16세까지 면역력지킴이),,"378,000원"
386,,hnsmall,[특집]정관장 아이패스 H단계 총100포 (17세~성인까지 면역력지킴이),,"432,000원"
387,21시45분~22시45분,cjmall,황성주맷돌두유 검은콩과 검은참깨 60팩+검은콩과17곡 40팩 국산,"55,900원","49,900원"
388,,cjmall,[이롬]황성주박사의 1일1생식 4주,,"99,000원"
389,,cjmall,[이롬]황성주박사의 1일1생식 8주,,"198,000원"
390,,cjmall,황성주 국산콩 두유 호두와 아몬드 두유 16입,,"17,800원"
391,21시45분~22시40분,immall,김하진우리소뚝배기불고기500g×11팩,"49,900원","48,900원"
392,22시23분~23시23분,wshop,★방송에서만 3개월분 더!!★ 종근당건강 시원하다 전립쎈 프라임 (총 9개월분),"119,000원","118,000원"
393,22시30분~23시40분,hnsmall,임실치즈로 만든 구워먹는 치즈떡,"49,900원","44,910원"
394,,hnsmall,스테프핫도그+사우어덕 세트 (핫도그 총23개+소스 2종+구운양파+렐리쉬피클),,"39,510원"
395,22시40분~23시45분,immall,정남진 하늘연쌀 10kg+10kg 총 20kg (17년 햅쌀),"50,900원","49,900원"
396,23시40분~0시10분,hnsmall,[리얼세븐]하루건강견과 프리미엄 2박스+하루건강견과 엑설런트 2박스 총 100봉,"69,900원","62,910원"
397,0시25분~0시46분,wshop,Why 옴부즈맨,,
398,0시57분~1시28분,ssgshop,"[카드 10%할인,10%적립]서초동 유명맛집 소들녘 소갈비탕 600g x 10팩 + 2팩 더 (총 12팩)","54,900원","53,900원"
399,1시00분~2시00분,nsmall,(무이자)프리바이오틱스FOS플러스 9개월분+프로바이오틱스 3개월분,"178,000원","177,000원"
400,,nsmall,(일시불)프리바이오틱스FOS플러스 9개월분+프로바이오틱스 3개월분,,"167,000원"
401,1시10분~2시05분,immall,[해명원]국내산 남도순살 먹갈치(200g*10팩),"40,900원","39,900원"
402,1시35분~2시12분,hnsmall,이동삼 안동간고등어 32팩 (필렛형),,"40,900원"
403,,hmall,(직)[천하일미] 홍석천 이원일의 소불고기 콤보(매콤 7팩+전통 7팩+전골육수 6팩),,"59,900원"
404,,hmall,[천하일미] 이원일의 전통 소불고기 7팩*160g,,"49,900원"
405,,hmall,[천하일미] 홍석천의 매콤 소불고기 7팩*160g,,"49,900원"
406,2시00분~2시59분,hmallplus,한줌의 보너츠 슈프림 110봉,,"39,900원"
407,2시00분~3시10분,nsmall,(무이자)프리바이오틱스FOS플러스 9박스(9개월분)+프로바이오틱스 3박스(3개월분),"178,000원","177,000원"
408,,nsmall,(일시불)프리바이오틱스FOS플러스 9박스(9개월분)+프로바이오틱스 3박스(3개월분),,"167,000원"
409,,nsmall,하림 토종닭 순살닭갈비 세트 총14팩(순살닭갈비 400gX7팩+안동식 순살찜닭 300gX7팩),,"41,310원"
410,,nsmall,거문도 해풍쑥떡세트(쑥개떡 15봉+쑥송편 2봉),,"38,900원"
411,,nsmall,거문도 해풍쑥떡+쑥분말세트(쑥개떡 15봉+쑥송편 2봉+쑥분말 1봉),,"48,900원"
412,2시05분~3시05분,immall,목우촌 버섯 뚝배기불고기 370g*10팩,"40,900원","39,900원"
413,2시28분~2시38분,ssgshop,"(사랑의 기부미) 김제 새만금 신동진쌀 10kg x2+신동진 현미1kg (총 21kg) (백미,현미 신동진 단일품종)","43,900원","42,900원"
414,,ssgshop,"(사랑의 기부미) 만세 보령 삼광미 GOLD 10kg x 2 + 현미 2kg (총 22kg) (백미, 삼광 단일품종)",,"43,900원"
415,2시45분~3시45분,cjmallplus,대천김 재래김20봉+도시락김 24개,"29,900원","28,900원"
416,2시52분~3시32분,hnsmall,[역대 최다구성] 이현우의 일품 불고기 총 22팩 (불고기 14팩+육수 8팩),,"59,900원"
417,,hnsmall,이현우의 일품 불고기 17팩 (불고기로만 17팩),,"59,900원"
418,3시00분~4시00분,gsshop,최다구성프리바이오틱스FOS 플러스 5개월+6개월+무료체험10포,,"158,000원"
419,3시05분~4시05분,immall,변석홍옥고,"99,000원","98,000원"
420,3시32분~4시31분,shopnt,종근당건강 아이클리어 루테인(10개월분),"69,000원","68,000원"
421,3시50분~6시00분,nsmall,메밀꽃필무렵 메밀면(냉메밀면세트 16팩+비빔메밀면세트 4팩+메밀전병 1팩),"49,900원","48,900원"
422,,nsmall,웰플러스 멀티비타민 총 12병/24개월,,"108,000원"
423,,nsmall,웰플러스 멀티비타민 총 8병/16개월,,"88,000원"
424,,nsmall,자연이 준 잣 총 13캔,,"78,900원"
425,,nsmall,자연이 준 잣 총 6캔,,"48,900원"
426,4시36분~5시16분,bshop,배연정의 떡갈비 총 60장 (30팩) 세트,"59,900원","58,900원"
427,4시40분~4시50분,lotteonetv,[R]삼육검은콩과칼슘 두유105팩세트(검은콩과칼슘75팩+삼육파우치30팩),"45,900원","44,900원"
428,5시16분~5시31분,bshop,한성 명란젓갈,"39,900원","38,900원"
429,5시31분~6시31분,lotteonetv,삼육검은콩과칼슘 두유105팩세트(검은콩과칼슘75팩+삼육파우치30팩),"45,900원","44,900원"
430,6시00분~6시35분,nsmall,제주농장 유기 양배추진액 총 4박스/120포,"74,900원","67,410원"
431,,nsmall,제주농장 유기 양배추진액 1박스/30포,,"23,900원"
432,6시10분~7시10분,hnsmall,Amazonia 아사이베리 14팩(총420g),,"153,000원"
433,,hnsmall,Amazonia 아사이베리 4팩(총120g),,"54,900원"
434,,hnsmall,Amazonia 아사이베리 14팩(총420g),,"153,000원"
435,6시30분~7시30분,ssgshop,프리미엄고지베리 구기자 30g*16통 (N014A10),"79,000원","71,100원"
436,6시35분~7시25분,nsmall,(일시불)허니부쉬 스킨솔루션 3병+발효에센스 3개,"119,000원","118,000원"
437,,nsmall,(무이자)허니부쉬 스킨솔루션 3병+발효에센스 3개,,"128,000원"
438,6시45분~7시45분,cjmallplus,[CJ쏘팔메토]전립소 스페셜 6개월분,"159,000원","158,000원"
439,7시22분~8시22분,kshop,퍼펙트조인트 보스웰리아 총8박스/4개월분,"178,000원","168,000원"
440,7시25분~8시20분,nsmall,[10%세일]종근당건강 혈행트리플케어 총 12박스/12개월분,,"151,200원"
441,7시31분~8시31분,bshop,[종근당건강] 피크노퀸 3BOX (3개월 분),"129,000원","119,000원"
442,,bshop,[단품] 종근당건강 피크노퀸 1BOX (1개월 분),,"79,000원"
443,8시15분~9시25분,cjmall,정관장 홍삼 정마일드 1병,,"59,000원"
444,,cjmall,[정관장홍삼정] 홍삼정 마일드 9병,,"353,700원"
445,8시15분~9시25분,immall,[먹어보고 선택하세요! 무료체험 가능!!] 물에 녹는 우리땅 아로니아(30g*20통),"80,100원","79,100원"
446,8시50분~9시30분,hnsmall,캐나다산 햄프씨드 더블구성 30봉 + 2봉(총 32봉),,"119,800원"
447,,hnsmall,캐나다산 햄프씨드 싱글구성 15봉,,"59,900원"
448,,hnsmall,캐나다산 햄프씨드 싱글구성 15봉,,"59,900원"
449,,hnsmall,캐나다산 햄프씨드 더블구성 30봉 + 2봉(총 32봉),,"119,800원"
450,9시25분~10시25분,cjmall,팔레오 비타민나무열매파우더15통,"159,000원","158,000원"
451,,cjmall,팔레오 비타민나무열매파우더 1통,,"29,800원"
452,9시25분~10시25분,immall,영월태양초고춧가루500g*6봉 + 비단초고춧가루110g 총3.11kg,,"76,900원"
453,10시25분~11시40분,immall,국내산 반건조 우럭 12미,,"59,900원"
454,,immall,국내산 반건조 大우럭 9미,,"59,900원"
455,10시25분~11시35분,nsmall,[NS단독]밝은세상루테인지아잔틴 총 10박스/10개월분,"138,000원","137,000원"
456,11시35분~12시40분,gsshop,독일 1등★마그네슘+비타민B1+B6+B12+엽산★[도펠헤르츠] 엑티브 활력비타민 12박스(12개월)_무료체험혜택,"159,000원","158,000원"
457,,gsshop,독일 1등 ★마그네슘+비타민B1+B6+B12+엽산★[도펠헤르츠] 엑티브 활력비타민 6박스(6개월)_무료체험혜택,,"98,000원"
458,12시05분~12시25분,gsmyshop,[MYSHOP] [종가집] 갓김치 2kg+파김치 1kg+열무김치 1kg,"40,900원","39,900원"
459,12시26분~13시26분,kshop,안동간고등어,"39,900원","36,900원"
460,12시28분~13시27분,shopnt,종근당건강 프로메가 오메가3 파워 (12개월분),"79,000원","78,000원"
461,12시30분~13시20분,immall,장흥표고버섯 슬라이스 세트(100g*6봉),"38,900원","37,900원"
462,12시46분~13시06분,gsmyshop,제주직송 돌밭하우스감귤 2.5kg + 2.5Kg,"42,900원","39,900원"
463,13시20분~14시10분,immall,[평창애] 포기김치 7kg + 섞박지 2kg,"44,900원","43,900원"
464,13시30분~14시30분,cjmall,[일동제약]비오비천 프리미엄 100억프로바이오틱스 16개월분 8병,"138,000원","137,000원"
465,,cjmall,[일동제약]비오비천 프리미엄 프로바이오틱스 8개월분4병,,"98,000원"
466,,cjmall,[일동제약]비오비천 프리미엄 프로바이오틱스 6개월분 3병,,"77,380원"
467,14시10분~15시00분,immall,사랑해 황금박대세트 20미,"49,900원","48,900원"
468,14시50분~15시20분,hnsmall,[권도영 알로에] 100% 알로에 사포나리아즙 (80ml 120포),,"132,000원"
469,,hnsmall,[권도영 알로에] 100% 알로에 사포나리아즙 (80ml 120포),,"132,000원"
470,15시00분~15시50분,immall,삶은부지갱이 300g × 10봉,"39,900원","38,900원"
471,15시20분~15시50분,hnsmall,"[대하한과] 실속형 전통한과 선물세트(720g, 4박스)",,"49,000원"
472,,hnsmall,"[대하한과] 실속형 전통한과 선물세트(720g, 4박스)",,"49,000원"
473,15시35분~16시50분,nsmall,거창북부농협 아카시아 벌꿀 550gX6병,"79,900원","78,900원"
474,15시46분~16시06분,gsmyshop,[제주산100%] JEJU 양배추브로콜리진액 4박스 (120입),"70,900원","69,900원"
475,15시50분~16시20분,hnsmall,국내산 100% 부드러운 흑미 20kg (4kg x 5봉),,"54,900원"
476,,hnsmall,친환경 무농약 100% 국내산 쌀 20kg (10kg+10kg),,"59,900원"
477,,hnsmall,국내산 100% 부드러운 흑미 12kg (4kg x 3봉),,"34,900원"
478,15시50분~16시40분,immall,조혜정의멸치연구소 짜지않은 순멸치 세트,"43,900원","42,900원"
479,16시10분~16시40분,gsshop,[홀피쉬] 제주 大 은갈치 5미 20토막,"79,900원","78,900원"
480,16시20분~16시50분,hnsmall,추억의 쥐포 세트 80+40 (총120장),,"42,900원"
481,,hnsmall,추억의 대왕쥐포 세트 총 35장 (대왕 사이즈),,"42,900원"
482,16시30분~18시30분,cjmall,[손질새우 20마리] 김나운 더 키친 손질새우,,"10,000원"
483,,cjmall,[손질새우 80마리] 김나운 더 키친 손질새우,,"19,900원"
484,16시40분~17시39분,hmallplus,(데)고박사 간고등어 30마리,,"39,900원"
485,16시50분~17시50분,nsmall,바로느껴지는 보이차 24주,"149,800원","148,800원"
486,,nsmall,바로느껴지는 보이차 12주,,"78,900원"
487,17시06분~17시26분,gsmyshop,휴럼 황후의 익모칡 28포 x 12박스 (48주분) + 전기주전자,"159,000원","158,000원"
488,17시17분~18시37분,lotteonetv,제주옥돔 10마리,"79,900원","78,900원"
489,17시30분~18시10분,hnsmall,리얼 코코넛 밀크 72팩!! 코코넛이 통째로!!,,"63,900원"
490,,hnsmall,베지밀 17곡 한끼두유 (96팩),,"45,900원"
491,,hnsmall,달콤한 베지밀B 검은콩 두유 (96팩),,"48,900원"
492,,hnsmall,담백한 베지밀A 검은콩두유 (96팩),,"48,900원"
493,,hnsmall,리얼 코코넛 밀크 세트 (총 72팩 / 코코넛밀크 48팩 + 티라미수 24팩),,"63,900원"
494,,hnsmall,리얼 코코넛 밀크 세트 (총 72팩 / 코코넛밀크 48팩 + 티라미수 24팩),,"63,900원"
495,,hnsmall,리얼 코코넛 밀크 72팩!! 코코넛이 통째로!!,,"63,900원"
496,17시30분~18시30분,kshop,김하진 우리우리 특갈비탕10팩+사은품곰탕,"59,900원","56,900원"
497,17시35분~18시34분,shopnt,[비비고 신구성] 비비고 왕교자 7봉 + 비비고 김치왕교자 3봉 + 비비고 새우왕교자 1봉 + 비비고 물만두 2봉 + 고추깻잎군만두 2봉 (총15봉),"40,900원","39,900원"
498,17시40분~18시40분,gsshop,[종가집] 중부식 포기김치11kg+열무김치1kg,"62,900원","59,900원"
499,,gsshop,[종가집] 전라도포기김치11kg+열무김치1kg,,"59,900원"
500,17시40분~19시35분,hmall,(미리주문)올리타리아 오일 패키지(포도씨유10병+해바라기씨유3병),"59,900원","53,910원"
501,,hmall,홍쌍리 매실장아찌 세트,,"69,900원"
502,,hmall,(재)두배로 나주곰탕,,"69,900원"
503,17시40분~18시39분,hmallplus,한줌의 보너츠 슈프림 110봉,,"39,900원"
504,17시45분~18시45분,cjmallplus,한촌 정성담은 양념LA갈비 500g 7팩+양념갈비찜 500g 3팩,"79,900원","78,900원"
505,17시50분~18시40분,lottemall,강강술래 황제 갈비탕 700g X 10팩,,"58,900원"
506,17시50분~18시35분,nsmall,한복선 영양 특갈비탕 600gX10팩,"59,900원","58,900원"
