,판매시간,홈쇼핑채널,제품명,소비자가,판매가,url
55,17시33분~18시10분,hnsmall,국내산 100% 부드러운 흑미 20kg (4kg x 5봉),"54,900원","49,410원",http://hsmoa.com/i?id=8286017&from=web_timeline
56,,hnsmall,국내산 100% 부드러운 흑미 12kg (4kg x 3봉),,"31,410원",http://hsmoa.com/i?id=8286018&from=web_timeline
57,,hnsmall,친환경 무농약 100% 국내산 쌀 20kg (10kg+10kg),,"53,910원",http://hsmoa.com/i?id=8286019&from=web_timeline
58,17시40분~19시35분,hmall,정준하의 야무지게 맛있는 베리후르츠 바베큐 폭립 1팩(450g),,"17,000원",http://hsmoa.com/i?id=8284429&from=web_timeline
59,,hmall,정준하의 야무지게 맛있는 레드 스파이시 폭립 1팩(450g),,"18,000원",http://hsmoa.com/i?id=8284430&from=web_timeline
60,,hmall,(직)정준하의 야무지게 맛있는 바베큐 폭립 세트,,"69,900원",http://hsmoa.com/i?id=8284431&from=web_timeline
61,17시45분~18시45분,cjmallplus,비비고 육개장500g 13봉 + 사골곰탕500g4봉,"40,900원","39,900원",http://hsmoa.com/i?id=8286079&from=web_timeline
62,17시50분~18시35분,nsmall,이종임의 LA갈비,"79,900원","78,900원",http://hsmoa.com/i?id=8284833&from=web_timeline
63,18시07분~18시27분,gsmyshop,[마캐는젊은농부들]마분말10g×30봉×1박스/총6박스(1.8kg),,"60,900원",http://hsmoa.com/i?id=8282428&from=web_timeline
64,18시32분~19시32분,shopnt,쉐프 구본길의 양념갈비찜 7팩 + 알꼬리찜 3팩 (총 10팩),"79,900원","78,900원",http://hsmoa.com/i?id=8285646&from=web_timeline
65,19시29분~20시29분,gsmyshop,홍진경 더김치 포기김치 7kg,"40,900원","39,900원",http://hsmoa.com/i?id=8282429&from=web_timeline
66,19시35분~20시40분,gsshop,간편한 스틱형＊정관장 홍삼정마일드 센스 5+1박스,,"365,000원",http://hsmoa.com/i?id=8285990&from=web_timeline
67,19시40분~20시40분,immall,제주은갈치 11미+굴비 10미+고등어10팩,"60,900원","59,900원",http://hsmoa.com/i?id=8285930&from=web_timeline
68,20시10분~20시50분,hnsmall,"[완도활전복] 대전복 24미 + 전복장 2캔 증정 (마리당 65~80g, 총 1.56kg)","69,900원","62,910원",http://hsmoa.com/i?id=8282006&from=web_timeline
69,,hnsmall,[완도활전복] 꼬마 전복 세트,,"26,910원",http://hsmoa.com/i?id=8283397&from=web_timeline
70,,hnsmall,"[완도활전복] 중전복 32미 (마리당 50~60g, 총 1.60kg)",,"62,910원",http://hsmoa.com/i?id=8283398&from=web_timeline
71,21시30분~22시10분,hnsmall,황성주 발아 약콩 두유 총 100팩!!,"54,900원","49,410원",http://hsmoa.com/i?id=8283399&from=web_timeline
72,21시45분~22시40분,immall,[특집]국내산 손질꽃게 9팩,"54,900원","53,900원",http://hsmoa.com/i?id=8285671&from=web_timeline
73,22시40분~23시45분,immall,[★홈쇼핑 유일 국내산★] 우리소 LA갈비 400g×10팩,"70,900원","69,900원",http://hsmoa.com/i?id=8286010&from=web_timeline
74,22시45분~23시50분,cjmall,[상시] 정관장 홍삼대보 프리미엄 본품 5박스 + 추가구성 2박스,,"301,500원",http://hsmoa.com/i?id=8284341&from=web_timeline
75,,cjmall,[정관장]건강기능식품 홍삼대보 프리미엄 본품으로만 1박스,,"67,000원",http://hsmoa.com/i?id=8284342&from=web_timeline
76,0시25분~1시05분,hnsmall,[특집] 한양 조미오징어 35봉,"40,900원","36,810원",http://hsmoa.com/i?id=8283151&from=web_timeline
77,0시45분~1시45분,cjmallplus,CJ제일제당 맛밤 32봉,"40,900원","39,900원",http://hsmoa.com/i?id=8285820&from=web_timeline
